ZIP Code,ev_count,station_count,evs_per_station,city
92679,3760,1.0,1880.0,Coto De Caza
92841,1507,0.0,1507.0,
90623,1118,0.0,1118.0,
92865,994,0.0,994.0,
92843,1609,1.0,804.5,Garden Grove
92688,3084,3.0,771.0,Rancho Santa Margarita
92649,2159,2.0,719.6666666666666,Huntington Beach
92869,2140,2.0,713.3333333333334,Orange
92808,2087,2.0,695.6666666666666,Anaheim
92646,3178,4.0,635.6,Huntington Beach
92861,635,0.0,635.0,
92620,8382,15.0,523.875,Irvine
92844,1030,1.0,515.0,Garden Grove
92677,6000,12.0,461.53846153846155,Laguna Niguel
92691,2973,6.0,424.7142857142857,Mission Viejo
92870,2845,6.0,406.42857142857144,Placentia
92673,2758,6.0,394.0,San Clemente
92625,1539,3.0,384.75,Corona del Mar
92804,2582,6.0,368.85714285714283,Anaheim
92845,715,1.0,357.5,Garden Grove
92887,1976,5.0,329.3333333333333,Yorba Linda
92627,2521,7.0,315.125,Costa Mesa
92833,3843,12.0,295.61538461538464,Fullerton
92840,2001,6.0,285.85714285714283,Garden Grove
92886,4786,16.0,281.52941176470586,Yorba Linda
92655,281,0.0,281.0,
92835,2232,7.0,279.0,Fullerton
92602,5123,19.0,256.15,Irvine
92782,3767,14.0,251.13333333333333,Tustin
92823,742,2.0,247.33333333333334,Brea
92651,2940,11.0,245.0,Laguna Beach
92704,1950,7.0,243.75,Santa Ana
92708,4623,18.0,243.31578947368422,Fountain Valley
90620,2120,8.0,235.55555555555554,Buena Park
92661,235,0.0,235.0,
92807,2997,12.0,230.53846153846155,Anaheim
92630,5468,23.0,227.83333333333334,Lake Forest
90631,2933,12.0,225.6153846153846,La Habra
92692,3954,17.0,219.66666666666666,Mission Viejo
92653,2375,10.0,215.9090909090909,Laguna Hills
92683,4233,20.0,201.57142857142858,Westminster
92656,4433,21.0,201.5,Laguna Hills
92662,189,0.0,189.0,
92705,3323,17.0,184.61111111111111,Santa Ana
92694,4933,26.0,182.7037037037037,Mission Viejo
92530,1576,8.0,175.11111111111111,Lake Elsinore
92657,2071,11.0,172.58333333333334,Newport Beach
92675,2415,13.0,172.5,San Juan Capistrano
90621,2232,12.0,171.69230769230768,Buena Park
92629,2009,12.0,154.53846153846155,Dana Point
92703,1061,6.0,151.57142857142858,Santa Ana
92676,146,0.0,146.0,
92821,3178,22.0,138.17391304347825,Brea
92624,413,2.0,137.66666666666666,Dana Point
92672,2137,15.0,133.5625,San Clemente
92648,3177,23.0,132.375,Huntington Beach
92867,2431,18.0,127.94736842105263,Orange
92663,1649,12.0,126.84615384615384,Newport Beach
92606,2471,20.0,117.66666666666667,Irvine
92610,1518,12.0,116.76923076923077,Foothill Ranch
90720,1611,13.0,115.07142857142857,Los Alamitos
92647,2397,20.0,114.14285714285714,Huntington Beach
90680,1036,9.0,103.6,Stanton
92706,983,10.0,89.36363636363636,Santa Ana
92801,1810,21.0,82.27272727272727,Anaheim
90638,2285,27.0,81.60714285714286,La Mirada
92637,805,9.0,80.5,Laguna Woods
92604,2250,27.0,80.35714285714286,Irvine
90742,69,0.0,69.0,
92707,1016,14.0,67.73333333333333,Santa Ana
90740,1269,18.0,66.78947368421052,Seal Beach
90630,3326,57.0,57.3448275862069,Cypress
92806,1498,26.0,55.48148148148148,Anaheim
92805,2583,46.0,54.95744680851064,Anaheim
92603,3073,64.0,47.276923076923076,Irvine
92780,2121,44.0,47.13333333333333,Tustin
90716,179,3.0,44.75,Hawaiian Gardens
92614,2904,66.0,43.343283582089555,Irvine
92660,3905,98.0,39.44444444444444,Newport Beach
90743,38,0.0,38.0,
92618,13148,353.0,37.14124293785311,Irvine
92626,2962,105.0,27.943396226415093,Costa Mesa
92831,1575,62.0,25.0,Fullerton
92701,837,36.0,22.62162162162162,Santa Ana
92612,2951,132.0,22.18796992481203,Irvine
92832,881,51.0,16.942307692307693,Fullerton
92678,14,0.0,14.0,
92868,1062,77.0,13.615384615384615,Orange
92866,430,48.0,8.775510204081632,Orange
92802,1163,149.0,7.753333333333333,Anaheim
92617,762,108.0,6.990825688073395,Irvine
92697,18,3.0,4.5,Irvine
